BusinessType,BusinessIndustry
Stadium/Concert Hall  *Historic*,"Arts, entertainment and recreation"
Steam Bath,Other services (except public administration)
Studio,Information and cultural industries
Talent Agency,"Arts, entertainment and recreation"
Tanning Salon,Other services (except public administration)
Tattoo Parlour,Other services (except public administration)
Telecommunications,Information and cultural industries
Theatre,"Arts, entertainment and recreation"
Therapeutic Touch Technique,Health care and social assistance
Transient Trader/Peddler-W,Retail trade
Travel Agent,"Administrative and support, waste management and remediation services"
U-Brew/U-Vin,Accommodation and food services
Vending Machines,Retail trade
Veterinarian *Historic*,"Professional, scientific and technical services"
Warehouse Operator,Transportation and warehousing
Warehouse Operator - Food,Transportation and warehousing
Wholesale Dealer - Food,Wholesale trade
Window Cleaner,Other services (except public administration)
Amusement Park,"Arts, entertainment and recreation"
Christmas Tree Lot,"Agriculture, forestry, fishing and hunting"
Gas Station - Propane *Historic*,Retail trade
Peddler - Food,Retail trade
Retail Dealer - Grocery,Retail trade
Transient Trader/Peddler-A,Retail trade
Wholesale Dealer w/ Anc. Retail,Wholesale trade
Artist Live/Work Studio,Information and cultural industries
Bingo Hall,"Arts, entertainment and recreation"
Business Services,"Professional, scientific and technical services"
Late Night Dance Event,"Arts, entertainment and recreation"
Liquor License Application,Accommodation and food services
Manufacturer - Food with Anc. Retail,Retail trade
Manufacturer with Anc. Retail,Retail trade
Nail Technician *Historic*,Other services (except public administration)
Special Beauty Culturist *Historic*,Other services (except public administration)
Wholesale Dealer - Food with Anc. Retail,Wholesale trade
Apartment House-99 Year Lease,Real estate and rental and leasing
Cosmetologist,Other services (except public administration)
Exotic Dancers,"Arts, entertainment and recreation"
Liquor Retail Store,Retail trade
Pre-1956 Dwelling,Real estate and rental and leasing
Provincial Liquor Review *Historic*,Accommodation and food services
Dining Lounge *Historic*,Accommodation and food services
ESL Instruction,Educational services
Financial Institution,Finance and insurance
Gasoline Station,Retail trade
Money Services,Finance and insurance
Club Lounge *Historic*,Accommodation and food services
Hotel Lounge *Historic*,Accommodation and food services
Retail Dealer - Market Outlet,Retail trade
Specialty Wine Store *Historic*,Accommodation and food services
Temp Liquor Licence Amendment,Accommodation and food services
Venue,Real estate and rental and leasing
Wedding Chapel,Other services (except public administration)
Liquor Establishment Standard,Retail trade
Liquor Establishment Extended,Accommodation and food services
2010 Winter Games *Historic*,Historic
Entertainment Centre,"Arts, entertainment and recreation"
Specialized Services,"Professional, scientific and technical services"
Agriculture,"Agriculture, forestry, fishing and hunting"
Short-Term Rent,Real estate and rental and leasing
